Player,Team,Stat,Line
Duncan Robinson,MIA,Blocked Shots,0.5
Nikola Jovic,MIA,Rebounds,5.5
Duncan Robinson,MIA,Pts+Rebs,19.5
Jimmy Butler,MIA,Rebs+Asts,11.5
Jimmy Butler,MIA,Rebs+Asts,14.5
Jimmy Butler,MIA,Rebounds,3.5
Duncan Robinson,MIA,Rebounds,3.5
Bam Adebayo,MIA,Steals,0.5
Bam Adebayo,MIA,Pts+Rebs,29.5
Deni Avdija,POR,Rebounds,5.5
Jaime Jaquez Jr.,MIA,Pts+Rebs,9.5
Deandre Ayton,POR,Pts+Rebs+Asts,19.5
Jerami Grant,POR,Pts+Rebs+Asts,24.5
Jaime Jaquez Jr.,MIA,Pts+Rebs,14.5
Nikola Jovic,MIA,3-PT Made,0.5
Duncan Robinson,MIA,Pts+Rebs+Asts,14.5
Bam Adebayo,MIA,Rebounds,11.5
Bam Adebayo,MIA,3-PT Made,1.5
Deni Avdija,POR,Pts+Asts,24.5
Deandre Ayton,POR,Pts+Asts,19.5
Duncan Robinson,MIA,Pts+Asts,19.5
Bam Adebayo,MIA,Rebounds,7.5
Bam Adebayo,MIA,Blocked Shots,1.5
Bam Adebayo,MIA,Pts+Rebs+Asts,34.5
Bam Adebayo,MIA,Pts+Rebs+Asts,24.5
Bam Adebayo,MIA,Pts+Asts,24.5
Jerami Grant,POR,Points,17.5
Jaime Jaquez Jr.,MIA,Points,11.5
Nikola Jovic,MIA,Points,15.5
Bam Adebayo,MIA,Rebs+Asts,17.5
Bruce Brown,TOR,Pts+Rebs,11.5
Bruce Brown,TOR,Pts+Rebs+Asts,13.5
Bruce Brown,TOR,Rebs+Asts,5.0
Bruce Brown,TOR,Points,8.0
Davion Mitchell,TOR,Pts+Rebs+Asts,13.5
Davion Mitchell,TOR,Pts+Asts,11.0
Davion Mitchell,TOR,Pts+Rebs,9.0
Davion Mitchell,TOR,Points,6.5
Davion Mitchell,TOR,Rebs+Asts,6.0
Davion Mitchell,TOR,Assists,4.0
Gradey Dick,TOR,Pts+Rebs+Asts,17.5
Gradey Dick,TOR,Pts+Asts,14.5
Gradey Dick,TOR,Points,12.5
Gradey Dick,TOR,Pts+Rebs,16.0
Gradey Dick,TOR,FG Attempted,11.0
Gradey Dick,TOR,3-PT Attempted,5.5
Jakob Poeltl,TOR,Defensive Rebounds,7.0
Jakob Poeltl,TOR,Rebounds,10.0
Jakob Poeltl,TOR,Pts+Rebs,23.5
Jakob Poeltl,TOR,Pts+Asts,14.5
Jakob Poeltl,TOR,Points,13.0
Jakob Poeltl,TOR,Rebs+Asts,12.5
Jakob Poeltl,TOR,Pts+Rebs+Asts,25.5
Jakob Poeltl,TOR,FG Attempted,10.0
Jakob Poeltl,TOR,Offensive Rebounds,3.5
Jakob Poeltl,TOR,FG Made,6.0
RJ Barrett,TOR,Pts+Rebs+Asts,33.0
RJ Barrett,TOR,3-PT Attempted,5.5
RJ Barrett,TOR,Assists,4.5
RJ Barrett,TOR,FG Attempted,17.0
RJ Barrett,TOR,FG Made,8.0
RJ Barrett,TOR,Rebs+Asts,11.5
RJ Barrett,TOR,Free Throws Made,4.0
RJ Barrett,TOR,Rebounds,6.5
RJ Barrett,TOR,Points,21.5
RJ Barrett,TOR,Pts+Asts,26.5
RJ Barrett,TOR,Pts+Rebs,28.0
Scottie Barnes,TOR,Steals,1.5
Scottie Barnes,TOR,Rebounds,8.0
Scottie Barnes,TOR,Points,20.0
Scottie Barnes,TOR,Rebs+Asts,14.0
Scottie Barnes,TOR,Pts+Rebs+Asts,34.0
Scottie Barnes,TOR,Pts+Rebs,28.0
Scottie Barnes,TOR,Free Throws Made,3.0
Scottie Barnes,TOR,Dunks,0.5
Scottie Barnes,TOR,FG Attempted,17.0
Scottie Barnes,TOR,Pts+Asts,26.0
Scottie Barnes,TOR,Assists,6.0
RJ Barrett,TOR,Points,19.5
Jakob Poeltl,TOR,Rebs+Asts,11.5
Davion Mitchell,TOR,Pts+Asts,9.5
Scottie Barnes,TOR,3-PT Made,2.5
Scottie Barnes,TOR,Rebs+Asts,17.5
Gradey Dick,TOR,Pts+Rebs,14.5
Davion Mitchell,TOR,Rebs+Asts,9.5
Davion Mitchell,TOR,Pts+Rebs+Asts,11.5
Bruce Brown,TOR,Rebounds,4.5
Bruce Brown,TOR,Points,9.5
Bruce Brown,TOR,Pts+Rebs+Asts,9.5
Bruce Brown,TOR,3-PT Made,1.5
Bruce Brown,TOR,Assists,2.5
Bruce Brown,TOR,Pts+Rebs,9.5
Bruce Brown,TOR,Pts+Rebs+Asts,19.5
Bruce Brown,TOR,Blocked Shots,0.5
Bruce Brown,TOR,Points,12.5
Davion Mitchell,TOR,Points,10.5
Davion Mitchell,TOR,Points,9.5
Davion Mitchell,TOR,Rebounds,3.5
Davion Mitchell,TOR,Pts+Asts,14.5
Davion Mitchell,TOR,Steals,1.5
Davion Mitchell,TOR,Assists,5.5
Davion Mitchell,TOR,Rebs+Asts,7.5
Davion Mitchell,TOR,Pts+Rebs,14.5
Davion Mitchell,TOR,Rebounds,2.5
Davion Mitchell,TOR,3-PT Made,1.5
Davion Mitchell,TOR,Assists,3.5
Davion Mitchell,TOR,Assists,6.5
Gradey Dick,TOR,3-PT Made,1.5
Gradey Dick,TOR,Blocked Shots,0.5
Gradey Dick,TOR,Points,17.5
Gradey Dick,TOR,Pts+Rebs+Asts,14.5
Gradey Dick,TOR,3-PT Made,2.5
Gradey Dick,TOR,Rebounds,4.5
Gradey Dick,TOR,Assists,2.5
Gradey Dick,TOR,Steals,1.5
Gradey Dick,TOR,Pts+Rebs,24.5
Jakob Poeltl,TOR,Assists,1.5
Jakob Poeltl,TOR,Points,17.5
Jakob Poeltl,TOR,Blocked Shots,1.5
Jakob Poeltl,TOR,Points,9.5
Jakob Poeltl,TOR,Rebounds,12.5
Jakob Poeltl,TOR,Blocked Shots,0.5
Jakob Poeltl,TOR,Rebs+Asts,14.5
Jakob Poeltl,TOR,Pts+Asts,19.5
Jakob Poeltl,TOR,Pts+Rebs,19.5
Jakob Poeltl,TOR,Rebounds,14.5
Jakob Poeltl,TOR,Assists,3.5
Jakob Poeltl,TOR,Pts+Rebs+Asts,29.5
Jakob Poeltl,TOR,Rebounds,9.5
Jakob Poeltl,TOR,Blocked Shots,2.5
Jakob Poeltl,TOR,Rebounds,13.5
Jakob Poeltl,TOR,Steals,0.5
Jakob Poeltl,TOR,Rebs+Asts,17.5
Jakob Poeltl,TOR,Steals,1.5
Jakob Poeltl,TOR,Steals,2.5
Jakob Poeltl,TOR,Rebs+Asts,15.5
Jonathan Isaac,ORL,Rebs+Asts,7.5
Jonathan Isaac,ORL,Assists,1.5
Kentavious Caldwell-Pope,ORL,Rebounds,1.5
Jonathan Isaac,ORL,Rebs+Asts,9.5
RJ Barrett,TOR,Pts+Asts,24.5
RJ Barrett,TOR,Points,29.5
RJ Barrett,TOR,Blocked Shots,0.5
RJ Barrett,TOR,Points,24.5
RJ Barrett,TOR,Pts+Asts,29.5
RJ Barrett,TOR,Assists,5.5
RJ Barrett,TOR,3-PT Made,2.5
RJ Barrett,TOR,Rebs+Asts,14.5
RJ Barrett,TOR,Rebounds,8.5
RJ Barrett,TOR,Pts+Rebs,24.5
RJ Barrett,TOR,Pts+Rebs+Asts,29.5
RJ Barrett,TOR,Rebounds,7.5
RJ Barrett,TOR,Rebounds,4.5
Scottie Barnes,TOR,3-PT Made,0.5
RJ Barrett,TOR,Rebounds,5.5
Scottie Barnes,TOR,3-PT Made,1.5
RJ Barrett,TOR,Rebs+Asts,13.5
RJ Barrett,TOR,Steals,0.5
RJ Barrett,TOR,Pts+Rebs+Asts,39.5
RJ Barrett,TOR,Pts+Asts,34.5
RJ Barrett,TOR,Steals,1.5
RJ Barrett,TOR,Pts+Rebs,34.5
Scottie Barnes,TOR,Rebs+Asts,15.5
Scottie Barnes,TOR,Points,24.5
Scottie Barnes,TOR,Blocked Shots,0.5
Scottie Barnes,TOR,Steals,2.5
Scottie Barnes,TOR,Blocked Shots,1.5
Scottie Barnes,TOR,Pts+Rebs+Asts,29.5
Scottie Barnes,TOR,Rebounds,9.5
Scottie Barnes,TOR,Pts+Rebs+Asts,39.5
Scottie Barnes,TOR,Pts+Asts,29.5
Scottie Barnes,TOR,Rebounds,6.5
Scottie Barnes,TOR,Pts+Rebs,24.5
Gradey Dick,TOR,Rebounds,2.5
Bruce Brown,TOR,Rebounds,2.5
Scottie Barnes,TOR,Assists,4.5
Scottie Barnes,TOR,Points,14.5
Jakob Poeltl,TOR,Points,14.5
RJ Barrett,TOR,Assists,3.5
Paolo Banchero,ORL,Rebs+Asts,9.5
Wendell Carter Jr.,ORL,Rebs+Asts,9.5
RJ Barrett,TOR,Rebs+Asts,15.5
Gradey Dick,TOR,Points,11.5
Bruce Brown,TOR,Pts+Rebs,14.5
Gradey Dick,TOR,Points,9.5
Gradey Dick,TOR,Pts+Rebs,19.5
RJ Barrett,TOR,Points,17.5
Jakob Poeltl,TOR,Pts+Rebs+Asts,34.5
Gradey Dick,TOR,Points,19.5
Gradey Dick,TOR,Pts+Rebs+Asts,24.5
Jakob Poeltl,TOR,Points,11.5
Bruce Brown,TOR,Pts+Asts,14.5
Jakob Poeltl,TOR,Pts+Rebs,29.5
Scottie Barnes,TOR,Points,17.5
RJ Barrett,TOR,Assists,6.5
Davion Mitchell,TOR,Points,4.5
Scottie Barnes,TOR,Pts+Rebs,34.5
Gradey Dick,TOR,3-PT Made,3.5
Scottie Barnes,TOR,Assists,8.5
Davion Mitchell,TOR,Pts+Rebs+Asts,19.5
Bruce Brown,TOR,Steals,1.5
Gradey Dick,TOR,Pts+Asts,19.5
Davion Mitchell,TOR,Blocked Shots,0.5
Scottie Barnes,TOR,Assists,7.5
Scottie Barnes,TOR,Rebounds,10.5
Jalen Brunson,NYK,Pts+Rebs+Asts,35.5
Jalen Brunson,NYK,Free Throws Made,5.5
Jalen Brunson,NYK,Points,25.5
Jalen Brunson,NYK,3-PT Attempted,5.5
Jalen Brunson,NYK,FG Made,9.5
Jalen Brunson,NYK,FG Attempted,18.0
Jalen Brunson,NYK,Rebs+Asts,10.0
Jalen Brunson,NYK,Pts+Asts,32.5
Jalen Brunson,NYK,Pts+Rebs,28.5
Cameron Johnson,BKN,FG Attempted,14.5
Cameron Johnson,BKN,3-PT Attempted,8.0
Cameron Johnson,BKN,FG Made,6.5
Cameron Johnson,BKN,Free Throws Made,2.5
Cameron Johnson,BKN,Offensive Rebounds,0.5
Josh Hart,NYK,Points,12.5
Josh Hart,NYK,Assists,5.5
Josh Hart,NYK,Free Throws Made,1.5
Josh Hart,NYK,Pts+Asts,17.5
Josh Hart,NYK,Pts+Rebs+Asts,28.0
Josh Hart,NYK,Pts+Rebs,22.0
Josh Hart,NYK,Rebounds,9.5
Josh Hart,NYK,Rebs+Asts,15.0
Cameron Johnson,BKN,Pts+Rebs,22.0
Cameron Johnson,BKN,Pts+Rebs+Asts,25.0
Nicolas Claxton,BKN,FG Made,4.5
Cameron Johnson,BKN,Points,18.0
Nicolas Claxton,BKN,Dunks,1.5
Cameron Johnson,BKN,Rebounds,3.5
Cameron Johnson,BKN,Pts+Asts,21.5
Cameron Johnson,BKN,Rebs+Asts,6.5
Nicolas Claxton,BKN,Defensive Rebounds,5.5
Karl-Anthony Towns,NYK,Pts+Rebs,36.0
Karl-Anthony Towns,NYK,Rebounds,12.5
Karl-Anthony Towns,NYK,Free Throws Made,4.0
Karl-Anthony Towns,NYK,Offensive Rebounds,2.5
Karl-Anthony Towns,NYK,Turnovers,2.5
Karl-Anthony Towns,NYK,FG Made,8.5
Karl-Anthony Towns,NYK,3-PT Attempted,4.5
Karl-Anthony Towns,NYK,Rebs+Asts,16.5
Karl-Anthony Towns,NYK,FG Attempted,16.0
Karl-Anthony Towns,NYK,Pts+Rebs+Asts,39.5
Karl-Anthony Towns,NYK,Defensive Rebounds,10.0
Karl-Anthony Towns,NYK,Points,22.5
Karl-Anthony Towns,NYK,Pts+Asts,26.5
Nicolas Claxton,BKN,Pts+Rebs,18.0
Nicolas Claxton,BKN,Pts+Asts,12.5
Nicolas Claxton,BKN,Rebs+Asts,9.5
Nicolas Claxton,BKN,Pts+Rebs+Asts,20.5
Nicolas Claxton,BKN,Rebounds,7.5
Nicolas Claxton,BKN,Points,10.5
Noah Clowney,BKN,FG Attempted,9.5
Mikal Bridges,NYK,FG Made,6.5
Mikal Bridges,NYK,FG Attempted,14.5
Mikal Bridges,NYK,Rebs+Asts,6.0
Mikal Bridges,NYK,3-PT Attempted,6.5
Mikal Bridges,NYK,Pts+Rebs+Asts,24.0
Mikal Bridges,NYK,Rebounds,3.0
Mikal Bridges,NYK,Pts+Rebs,20.5
Mikal Bridges,NYK,Pts+Asts,20.5
Mikal Bridges,NYK,Points,18.0
Noah Clowney,BKN,Steals,0.5
Noah Clowney,BKN,Pts+Rebs+Asts,17.5
D'Angelo Russell,BKN,FG Attempted,13.0
D'Angelo Russell,BKN,FG Made,5.5
D'Angelo Russell,BKN,3-PT Attempted,6.5
Noah Clowney,BKN,Points,11.5
Noah Clowney,BKN,Rebounds,4.5
Noah Clowney,BKN,Pts+Rebs,16.5
Noah Clowney,BKN,Pts+Asts,12.5
Miles McBride,NYK,Points,7.5
Miles McBride,NYK,Pts+Rebs+Asts,12.5
Miles McBride,NYK,Steals,0.5
Miles McBride,NYK,Pts+Rebs,9.5
Miles McBride,NYK,Pts+Asts,10.0
Miles McBride,NYK,Assists,2.5
OG Anunoby,NYK,FG Attempted,11.0
Day'Ron Sharpe,BKN,Rebounds,6.5
OG Anunoby,NYK,Pts+Rebs+Asts,20.5
OG Anunoby,NYK,Pts+Asts,16.0
OG Anunoby,NYK,Rebs+Asts,6.0
OG Anunoby,NYK,Pts+Rebs,19.0
OG Anunoby,NYK,Points,14.5
Jalen Wilson,BKN,Points,9.5
Precious Achiuwa,NYK,Steals,0.5
Precious Achiuwa,NYK,Pts+Rebs+Asts,10.5
Precious Achiuwa,NYK,Rebs+Asts,5.5
Precious Achiuwa,NYK,Points,4.5
Precious Achiuwa,NYK,Pts+Asts,5.5
Precious Achiuwa,NYK,Pts+Rebs,10.0
Precious Achiuwa,NYK,Rebounds,5.0
Keon Johnson,BKN,Points,10.0
D'Angelo Russell,BKN,Pts+Rebs,18.0
D'Angelo Russell,BKN,Assists,7.0
D'Angelo Russell,BKN,Points,15.5
D'Angelo Russell,BKN,Pts+Rebs+Asts,25.5
Jalen Wilson,BKN,3-PT Made,2.5
Josh Hart,NYK,Pts+Rebs,24.5
Karl-Anthony Towns,NYK,Blocked Shots,1.5
Jalen Brunson,NYK,Assists,8.5
Karl-Anthony Towns,NYK,Points,19.5
OG Anunoby,NYK,Pts+Rebs+Asts,24.5
OG Anunoby,NYK,Steals,0.5
Mikal Bridges,NYK,Pts+Asts,24.5
Mikal Bridges,NYK,Assists,1.5
Mikal Bridges,NYK,Pts+Rebs+Asts,29.5
Mikal Bridges,NYK,Pts+Asts,14.5
Karl-Anthony Towns,NYK,Pts+Asts,29.5
Josh Hart,NYK,Pts+Rebs+Asts,34.5
Karl-Anthony Towns,NYK,Pts+Rebs,29.5
Miles McBride,NYK,Points,4.5
Karl-Anthony Towns,NYK,Points,29.5
Precious Achiuwa,NYK,Steals,1.5
Miles McBride,NYK,Points,11.5
Mikal Bridges,NYK,Rebs+Asts,7.5
OG Anunoby,NYK,Pts+Rebs,24.5
Josh Hart,NYK,Blocked Shots,0.5
Karl-Anthony Towns,NYK,Steals,1.5
Miles McBride,NYK,Pts+Rebs+Asts,9.5
Karl-Anthony Towns,NYK,Rebounds,16.5
OG Anunoby,NYK,Rebounds,6.5
Miles McBride,NYK,Pts+Asts,14.5
Jalen Brunson,NYK,Assists,6.5
Karl-Anthony Towns,NYK,Rebs+Asts,14.5
Jalen Brunson,NYK,Pts+Rebs+Asts,44.5
Miles McBride,NYK,3-PT Made,2.5
Jalen Brunson,NYK,3-PT Made,3.5
Mikal Bridges,NYK,Points,23.5
Miles McBride,NYK,Assists,1.5
Jalen Brunson,NYK,Pts+Rebs+Asts,39.5
Josh Hart,NYK,Pts+Rebs,19.5
OG Anunoby,NYK,Pts+Asts,14.5
Josh Hart,NYK,Rebounds,11.5
OG Anunoby,NYK,Rebounds,5.5
Mikal Bridges,NYK,Pts+Rebs+Asts,19.5
Mikal Bridges,NYK,Points,19.5
Mikal Bridges,NYK,3-PT Made,3.5
Jalen Brunson,NYK,3-PT Made,2.5
Jalen Brunson,NYK,Points,29.5
Karl-Anthony Towns,NYK,3-PT Made,2.5
Karl-Anthony Towns,NYK,Assists,3.5
Jalen Brunson,NYK,Assists,5.5
Karl-Anthony Towns,NYK,Blocked Shots,0.5
Jalen Brunson,NYK,Pts+Asts,29.5
Josh Hart,NYK,Pts+Rebs,29.5
Karl-Anthony Towns,NYK,Pts+Asts,34.5
Miles McBride,NYK,Assists,4.5
Josh Hart,NYK,Steals,2.5
Josh Hart,NYK,Assists,8.5
Miles McBride,NYK,Assists,3.5
Jalen Brunson,NYK,Rebounds,4.5
Karl-Anthony Towns,NYK,Rebs+Asts,19.5
Josh Hart,NYK,Rebs+Asts,21.5
Josh Hart,NYK,Rebs+Asts,19.5
Mikal Bridges,NYK,Steals,1.5
Miles McBride,NYK,Rebounds,3.5
Mikal Bridges,NYK,Assists,4.5
Miles McBride,NYK,Blocked Shots,0.5
Precious Achiuwa,NYK,Rebounds,6.5
Jalen Wilson,BKN,Points,7.5
Precious Achiuwa,NYK,Points,8.5
Jalen Brunson,NYK,Rebs+Asts,11.5
Precious Achiuwa,NYK,Blocked Shots,1.5
OG Anunoby,NYK,Rebounds,3.5
Karl-Anthony Towns,NYK,Assists,4.5
Jalen Brunson,NYK,Points,33.5
Jalen Brunson,NYK,Pts+Rebs,24.5
Precious Achiuwa,NYK,Pts+Rebs,14.5
OG Anunoby,NYK,Steals,1.5
Cameron Johnson,BKN,Blocked Shots,0.5
Jalen Brunson,NYK,Pts+Asts,39.5
Mikal Bridges,NYK,Rebounds,4.5
Jalen Wilson,BKN,Pts+Asts,9.5
Josh Hart,NYK,Assists,4.5
Josh Hart,NYK,Pts+Asts,24.5
Jalen Wilson,BKN,Points,5.5
Noah Clowney,BKN,Pts+Asts,9.5
Noah Clowney,BKN,Pts+Asts,19.5
Jalen Wilson,BKN,Pts+Rebs+Asts,19.5
Noah Clowney,BKN,3-PT Made,3.5
Noah Clowney,BKN,Points,14.5
Jalen Wilson,BKN,Turnovers,1.5
Noah Clowney,BKN,Pts+Rebs+Asts,14.5
Noah Clowney,BKN,Pts+Rebs,14.5
Noah Clowney,BKN,Pts+Rebs,19.5
Noah Clowney,BKN,Rebs+Asts,7.5
Jalen Wilson,BKN,Rebounds,2.5
Jalen Wilson,BKN,Pts+Asts,14.5
Jalen Wilson,BKN,Pts+Rebs,19.5
Jalen Wilson,BKN,Rebounds,4.5
Noah Clowney,BKN,Pts+Rebs+Asts,24.5
Cameron Johnson,BKN,Pts+Rebs,19.5
Jalen Wilson,BKN,Assists,2.5
Jalen Wilson,BKN,Assists,0.5
Cameron Johnson,BKN,Points,24.5
Noah Clowney,BKN,Rebounds,3.5
D'Angelo Russell,BKN,Assists,9.5
D'Angelo Russell,BKN,Points,19.5
Noah Clowney,BKN,Rebounds,5.5
Jalen Wilson,BKN,Pts+Rebs,9.5
Cameron Johnson,BKN,Rebounds,2.5
Jalen Wilson,BKN,3-PT Made,0.5
Noah Clowney,BKN,Points,7.5
D'Angelo Russell,BKN,Points,9.5
Precious Achiuwa,NYK,Points,7.5
Miles McBride,NYK,Points,5.5
Jalen Brunson,NYK,Points,20.5
Jalen Brunson,NYK,Assists,9.5
Mikal Bridges,NYK,Points,12.5
Miles McBride,NYK,Points,3.5
Mikal Bridges,NYK,Rebounds,1.5
OG Anunoby,NYK,Turnovers,1.5
Josh Hart,NYK,Points,17.5
Mikal Bridges,NYK,Rebounds,3.5
Miles McBride,NYK,Pts+Rebs+Asts,14.5
Josh Hart,NYK,Assists,6.5
Josh Hart,NYK,3-PT Made,0.5
Precious Achiuwa,NYK,Pts+Rebs+Asts,14.5
Mikal Bridges,NYK,Points,14.5
Miles McBride,NYK,Steals,1.5
OG Anunoby,NYK,Points,19.5
Precious Achiuwa,NYK,Rebounds,7.5
Precious Achiuwa,NYK,Pts+Rebs+Asts,9.5
OG Anunoby,NYK,Pts+Asts,19.5
Josh Hart,NYK,Points,8.5
Karl-Anthony Towns,NYK,Points,30.5
Precious Achiuwa,NYK,Pts+Asts,9.5
Karl-Anthony Towns,NYK,Rebounds,14.5
Precious Achiuwa,NYK,3-PT Made,0.5
Josh Hart,NYK,Pts+Rebs+Asts,24.5
OG Anunoby,NYK,Points,9.5
Karl-Anthony Towns,NYK,Steals,0.5
Josh Hart,NYK,Points,9.5
Cameron Johnson,BKN,Assists,4.5
Karl-Anthony Towns,NYK,Points,17.5
Josh Hart,NYK,Assists,7.5
Jalen Brunson,NYK,Pts+Rebs+Asts,29.5
Karl-Anthony Towns,NYK,Pts+Rebs+Asts,44.5
Jalen Brunson,NYK,Steals,0.5
Mikal Bridges,NYK,Blocked Shots,0.5
Cameron Johnson,BKN,Points,14.5
Cameron Johnson,BKN,Pts+Asts,19.5
Cameron Johnson,BKN,3-PT Made,4.5
Cameron Johnson,BKN,Rebounds,5.5
Cameron Johnson,BKN,Pts+Rebs+Asts,29.5
Cameron Johnson,BKN,Rebounds,4.5
Cameron Johnson,BKN,Rebs+Asts,9.5
Cameron Johnson,BKN,Pts+Rebs,29.5
Cameron Johnson,BKN,Pts+Asts,29.5
Jalen Brunson,NYK,Assists,10.5
Noah Clowney,BKN,Points,17.5
Noah Clowney,BKN,Points,9.5
Noah Clowney,BKN,Rebs+Asts,9.5
Noah Clowney,BKN,Steals,1.5
Noah Clowney,BKN,3-PT Made,1.5
Noah Clowney,BKN,Rebounds,6.5
Miles McBride,NYK,Pts+Rebs,14.5
Karl-Anthony Towns,NYK,Pts+Rebs,44.5
Jalen Brunson,NYK,Rebs+Asts,13.5
Jalen Wilson,BKN,Points,11.5
Cameron Johnson,BKN,Pts+Rebs+Asts,19.5
Noah Clowney,BKN,Assists,2.5
Cameron Johnson,BKN,Pts+Rebs+Asts,34.5
Mikal Bridges,NYK,Turnovers,1.5
Cameron Johnson,BKN,3-PT Made,2.5
Noah Clowney,BKN,Assists,0.5
Cameron Johnson,BKN,Assists,5.5
Jalen Wilson,BKN,Steals,1.5
Mikal Bridges,NYK,3-PT Made,1.5
Miles McBride,NYK,3-PT Made,0.5
Mikal Bridges,NYK,Assists,3.5
Jalen Brunson,NYK,Steals,1.5
Miles McBride,NYK,Rebs+Asts,7.5
OG Anunoby,NYK,Assists,2.5
Precious Achiuwa,NYK,Assists,1.5
Karl-Anthony Towns,NYK,Rebounds,13.5
Jalen Brunson,NYK,3-PT Made,1.5
Karl-Anthony Towns,NYK,Rebounds,9.5
OG Anunoby,NYK,3-PT Made,2.5
Josh Hart,NYK,Rebs+Asts,17.5
Josh Hart,NYK,Points,14.5
Jalen Brunson,NYK,Points,34.5
Mikal Bridges,NYK,Pts+Rebs,14.5
Josh Hart,NYK,3-PT Made,1.5
Jalen Brunson,NYK,Rebounds,3.5
OG Anunoby,NYK,Pts+Rebs,14.5
Mikal Bridges,NYK,Steals,0.5
OG Anunoby,NYK,Points,17.5
Precious Achiuwa,NYK,Rebs+Asts,7.5
Karl-Anthony Towns,NYK,Pts+Rebs+Asts,49.5
Karl-Anthony Towns,NYK,Rebounds,15.5
Miles McBride,NYK,Points,9.5
Mikal Bridges,NYK,Pts+Rebs,24.5
Karl-Anthony Towns,NYK,Rebs+Asts,17.5
Karl-Anthony Towns,NYK,Pts+Rebs+Asts,34.5
Precious Achiuwa,NYK,Rebounds,3.5
Mikal Bridges,NYK,Rebs+Asts,4.5
Josh Hart,NYK,Rebounds,12.5
OG Anunoby,NYK,Rebs+Asts,7.5
Miles McBride,NYK,Rebounds,2.5
Karl-Anthony Towns,NYK,Pts+Asts,24.5
Josh Hart,NYK,Pts+Asts,14.5
Josh Hart,NYK,Rebounds,13.5
Cameron Johnson,BKN,Points,13.5
Jalen Brunson,NYK,Pts+Rebs,34.5
Cameron Johnson,BKN,Steals,1.5
D'Angelo Russell,BKN,Rebs+Asts,10.0
OG Anunoby,NYK,Points,11.5
Karl-Anthony Towns,NYK,Pts+Rebs,39.5
OG Anunoby,NYK,Blocked Shots,1.5
Jalen Wilson,BKN,Rebounds,5.5
Jalen Wilson,BKN,Rebs+Asts,7.5
Jalen Wilson,BKN,Points,14.5
Noah Clowney,BKN,Pts+Rebs,24.5
Aaron Gordon,DEN,FG Attempted,7.0
Aaron Gordon,DEN,Pts+Rebs,14.0
Aaron Gordon,DEN,Pts+Asts,12.0
Aaron Gordon,DEN,Points,10.0
Aaron Gordon,DEN,Rebs+Asts,6.0
Aaron Gordon,DEN,Pts+Rebs+Asts,16.5
Aaron Gordon,DEN,Rebounds,4.0
Aaron Gordon,DEN,Blks+Stls,0.5
Eric Gordon,PHI,Pts+Rebs,11.5
Eric Gordon,PHI,Points,10.0
Eric Gordon,PHI,Rebounds,1.5
Eric Gordon,PHI,Pts+Rebs+Asts,13.5
Eric Gordon,PHI,Rebs+Asts,4.0
Eric Gordon,PHI,Pts+Asts,12.5
Christian Braun,DEN,FG Attempted,8.5
Christian Braun,DEN,FG Made,4.5
Christian Braun,DEN,Defensive Rebounds,3.5
Christian Braun,DEN,Steals,0.5
Christian Braun,DEN,Rebs+Asts,6.0
Christian Braun,DEN,Points,11.5
Christian Braun,DEN,Pts+Asts,13.5
Christian Braun,DEN,Pts+Rebs+Asts,18.0
Christian Braun,DEN,Pts+Rebs,15.5
Guerschon Yabusele,PHI,Pts+Asts,13.5
Guerschon Yabusele,PHI,Pts+Rebs,17.0
Guerschon Yabusele,PHI,Pts+Rebs+Asts,19.5
Guerschon Yabusele,PHI,Points,10.5
Guerschon Yabusele,PHI,Rebs+Asts,8.5
Jamal Murray,DEN,Offensive Rebounds,0.5
Jamal Murray,DEN,FG Attempted,16.5
Jamal Murray,DEN,Defensive Rebounds,3.0
Jamal Murray,DEN,Free Throws Made,2.5
Jamal Murray,DEN,3-PT Attempted,6.0
Jamal Murray,DEN,FG Made,7.5
Jamal Murray,DEN,Pts+Asts,25.5
Jamal Murray,DEN,Rebs+Asts,9.0
Jamal Murray,DEN,Points,19.5
Jamal Murray,DEN,Pts+Rebs+Asts,29.0
Jamal Murray,DEN,Pts+Rebs,23.5
Jamal Murray,DEN,Rebounds,3.5
Jamal Murray,DEN,Assists,5.5
Kelly Oubre Jr.,PHI,Rebs+Asts,7.5
Kelly Oubre Jr.,PHI,Turnovers,1.5
Kelly Oubre Jr.,PHI,Rebounds,6.0
Kelly Oubre Jr.,PHI,Points,15.0
Kelly Oubre Jr.,PHI,Pts+Rebs,21.0
Kelly Oubre Jr.,PHI,Pts+Rebs+Asts,23.5
Kelly Oubre Jr.,PHI,Pts+Asts,17.5
Julian Strawther,DEN,FG Attempted,8.0
Julian Strawther,DEN,3-PT Attempted,4.5
Julian Strawther,DEN,FG Made,3.0
Julian Strawther,DEN,Rebs+Asts,3.5
Julian Strawther,DEN,Pts+Asts,9.5
Julian Strawther,DEN,Pts+Rebs+Asts,12.5
Julian Strawther,DEN,Points,9.0
Julian Strawther,DEN,Pts+Rebs,11.0
Paul George,PHI,Pts+Rebs+Asts,31.5
Paul George,PHI,Pts+Asts,25.5
Paul George,PHI,Rebs+Asts,11.0
Paul George,PHI,Assists,5.0
Paul George,PHI,Rebounds,6.0
Paul George,PHI,Points,21.0
Paul George,PHI,Pts+Rebs,27.0
Michael Porter Jr.,DEN,FG Attempted,11.5
Michael Porter Jr.,DEN,Defensive Rebounds,4.5
