Player,Team,Stat,Line
Jonas Valanciunas,WAS,Rebounds,8.0
Jonas Valanciunas,WAS,Pts+Rebs+Asts,20.5
Jonas Valanciunas,WAS,FG Made,4.0
Rui Hachimura,LAL,Rebs+Asts,6.5
Rui Hachimura,LAL,Points,11.5
Rui Hachimura,LAL,Pts+Rebs+Asts,19.0
Rui Hachimura,LAL,Pts+Asts,13.5
Rui Hachimura,LAL,Pts+Rebs,17.0
Jordan Poole,WAS,3-PT Attempted,9.0
Jordan Poole,WAS,FG Attempted,17.0
Jordan Poole,WAS,Points,20.5
Jordan Poole,WAS,Pts+Rebs,23.5
Jordan Poole,WAS,Free Throws Made,3.5
Jordan Poole,WAS,Pts+Rebs+Asts,28.0
Jordan Poole,WAS,Pts+Asts,24.5
Jordan Poole,WAS,Blks+Stls,1.5
Jordan Poole,WAS,FG Made,7.0
Gabe Vincent,LAL,Points,5.5
Kyle Kuzma,WAS,Defensive Rebounds,5.0
Kyle Kuzma,WAS,FG Made,6.5
Kyle Kuzma,WAS,3-PT Attempted,5.5
Kyle Kuzma,WAS,Turnovers,2.5
Kyle Kuzma,WAS,Points,16.5
Kyle Kuzma,WAS,Pts+Rebs,22.0
Kyle Kuzma,WAS,FG Attempted,15.0
Kyle Kuzma,WAS,Pts+Asts,19.5
Kyle Kuzma,WAS,Pts+Rebs+Asts,25.5
Kyle Kuzma,WAS,Rebs+Asts,9.0
Kyle Kuzma,WAS,Rebounds,5.5
Kyshawn George,WAS,Pts+Rebs+Asts,13.0
Kyshawn George,WAS,Rebs+Asts,5.5
Kyshawn George,WAS,FG Attempted,7.0
Kyshawn George,WAS,Pts+Rebs,10.5
Kyshawn George,WAS,FG Made,2.5
Kyshawn George,WAS,3-PT Attempted,4.5
Kyshawn George,WAS,Rebounds,3.5
Kyshawn George,WAS,Pts+Asts,9.5
Kyshawn George,WAS,Points,7.5
Austin Reaves,LAL,Blocked Shots,0.5
Austin Reaves,LAL,Assists,9.5
Anthony Davis,LAL,Rebs+Asts,19.5
Anthony Davis,LAL,Steals,2.5
Anthony Davis,LAL,Rebounds,17.5
Anthony Davis,LAL,Rebounds,11.5
Anthony Davis,LAL,Pts+Rebs+Asts,54.5
Anthony Davis,LAL,Pts+Rebs,44.5
Anthony Davis,LAL,Pts+Rebs,49.5
Anthony Davis,LAL,Pts+Rebs,34.5
Anthony Davis,LAL,Pts+Asts,34.5
Anthony Davis,LAL,Blocked Shots,3.5
Anthony Davis,LAL,Assists,4.5
Anthony Davis,LAL,Blocked Shots,2.5
Anthony Davis,LAL,Blocked Shots,1.5
Anthony Davis,LAL,3-PT Made,1.5
Max Christie,LAL,Pts+Rebs+Asts,24.5
Max Christie,LAL,Pts+Rebs,19.5
Max Christie,LAL,Rebs+Asts,7.5
Rui Hachimura,LAL,Blocked Shots,0.5
Austin Reaves,LAL,Pts+Rebs+Asts,34.5
Rui Hachimura,LAL,3-PT Made,0.5
Rui Hachimura,LAL,Points,19.5
LeBron James,LAL,Pts+Rebs,29.5
LeBron James,LAL,Pts+Asts,29.5
LeBron James,LAL,3-PT Made,3.5
Max Christie,LAL,Rebounds,2.5
Jordan Poole,WAS,3-PT Made,5.5
